Season,Team,TeamsByYear,HR,R,RBI,SB,BB,K,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
2017,BAL,2017BAL,232,743,713,32,0.064,0.23,0.175,0.306,0.26,0.312,0.435,0.318,95,-14.9,-51.3,-47.9,10.6
2017,DET,2017DET,187,735,699,65,0.082,0.213,0.166,0.306,0.258,0.324,0.424,0.321,98,-19.8,-37.8,-63.4,10.4
2017,PIT,2017PIT,151,668,635,67,0.085,0.198,0.142,0.286,0.244,0.318,0.386,0.304,85,-2.2,-120,13.1,10.1
2017,SFG,2017SFG,128,639,612,76,0.076,0.196,0.132,0.294,0.249,0.309,0.38,0.296,83,2.6,-134.1,15.8,8.9
2017,SDP,2017SDP,189,604,576,89,0.077,0.252,0.16,0.287,0.234,0.299,0.393,0.298,82,6.7,-132.7,20.1,8.9
2017,TOR,2017TOR,222,693,661,53,0.088,0.216,0.172,0.276,0.24,0.312,0.412,0.312,93,-15.8,-72.6,-44.5,8.8
2016,CHC,2016CHC,199,808,767,66,0.104,0.211,0.173,0.302,0.256,0.343,0.429,0.333,106,17.3,61.3,92,36.1
2016,BOS,2016BOS,208,878,836,83,0.088,0.184,0.179,0.32,0.282,0.348,0.461,0.346,113,10.6,109.9,-9,32.4
2016,HOU,2016HOU,198,724,689,102,0.089,0.234,0.17,0.298,0.247,0.319,0.417,0.317,101,-5.4,2.8,25.5,24.6
2016,STL,2016STL,225,779,745,35,0.085,0.212,0.187,0.294,0.255,0.325,0.443,0.329,105,-17.1,18.9,24.4,24.5
2016,SFG,2016SFG,130,715,675,79,0.091,0.177,0.14,0.299,0.258,0.329,0.398,0.315,96,-2.8,-34.8,75.1,24.3
2016,CLE,2016CLE,185,777,733,134,0.086,0.202,0.168,0.304,0.262,0.329,0.43,0.326,100,15.8,14.1,10.1,24
2016,TOR,2016TOR,221,759,728,54,0.101,0.219,0.178,0.289,0.248,0.33,0.426,0.327,104,-9,21.9,-1.8,23.8
2016,SEA,2016SEA,223,768,735,56,0.081,0.207,0.171,0.297,0.259,0.326,0.43,0.325,108,-13.5,44.6,-27.2,23.6
2016,WSN,2016WSN,203,763,735,121,0.086,0.202,0.17,0.293,0.256,0.326,0.426,0.322,96,16,-16.4,44.1,22.8
2016,PIT,2016PIT,153,729,696,110,0.09,0.213,0.144,0.311,0.257,0.332,0.402,0.318,97,-6.7,-26.5,48.5,22.4
2016,NYM,2016NYM,218,671,649,42,0.085,0.213,0.171,0.282,0.246,0.316,0.417,0.315,99,-8.6,-17.7,36.5,21.6
